keys,en,en_XA
SETUP_PRESET_CANON,Canon,[Cänön ~~~~]
SETUP_PRESET_CANON_SUMMARY,"The game as designed. Three prisoners, one hit each, ghosts on, and an opening race for the tower. One prisoner through the end takes the seat; hold the seat through a round and the match is yours.","[Thé gämé äs désïgnéd. Thréé prïsönérs, öné hït éäch, ghösts ön, änd än öpénïng räcé för thé töwér. Öné prïsönér thröügh thé énd täkés thé séät; höld thé séät thröügh ä röünd änd thé mätch ïs ýöürs. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
SETUP_PRESET_CLASSIC,Classic,[Clässïc ~~~~]
SETUP_PRESET_CLASSIC_SUMMARY,"Canon without ghosts. A shot prisoner is out of the round and the ring empties as the tower works. Fewer bodies, shorter rounds, no second chance.","[Cänön wïthöüt ghösts. Å shöt prïsönér ïs öüt öf thé röünd änd thé rïng émptïés äs thé töwér wörks. Féwér bödïés, shörtér röünds, nö sécönd chäncé. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
SETUP_PRESET_DUEL,Duel,[Düél ~~~~]
SETUP_PRESET_DUEL_SUMMARY,"One prisoner, one rifle, no ghosts, and three rounds to take the match. The tower and the ring trade places until somebody holds the seat three times.","[Öné prïsönér, öné rïflé, nö ghösts, änd thréé röünds tö täké thé mätch. Thé töwér änd thé rïng trädé pläcés üntïl sömébödý hölds thé séät thréé tïmés. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
SETUP_PRESET_RIOT,Riot,[Rïöt ~~~~]
SETUP_PRESET_RIOT_SUMMARY,"Six prisoners against one single-shot rifle, ghosts on. The tower cannot cover the ring; the question is how much of it you can.","[Sïx prïsönérs ägäïnst öné sïnglé-shöt rïflé, ghösts ön. Thé töwér cännöt cövér thé rïng; thé qüéstïön ïs höw müch öf ït ýöü cän. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
SETUP_PRESET_SIEGE,Siege,[Sïégé ~~~~]
SETUP_PRESET_SIEGE_SUMMARY,"Four prisoners, and leakage is not enough: EVERY prisoner still in the round has to reach the end. One left on the ring keeps the tower alive.","[Föür prïsönérs, änd léäkägé ïs nöt énöügh: ÉVÉRÝ prïsönér stïll ïn thé röünd häs tö réäch thé énd. Öné léft ön thé rïng kééps thé töwér älïvé. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
SETUP_SEAT_YOU,You,[Ýöü ~~~~]
SETUP_SEAT_RUNNER,Runner {index},[Rünnér {index} ~~~~]
MP_TITLE,MULTIPLAYER,[MÜLTÏPLÅÝÉR ~~~~]
MP_YOUR_NAME,Your name,[Ýöür nämé ~~~~]
MP_NAME_PLACEHOLDER,Name,[Nämé ~~~~]
MP_HOST,HOST,[HÖST ~~~~]
MP_ADDRESSES_HINT,Give a friend one of these addresses:,[Gïvé ä frïénd öné öf thésé äddréssés: ~~~~ ~~~~ ~~~~]
MP_START_HOSTING,Start hosting,[Stärt höstïng ~~~~]
MP_JOIN,JOIN,[JÖÏN ~~~~]
MP_ADDRESS,Address,[Åddréss ~~~~]
MP_ADDRESS_PLACEHOLDER,100.x.x.x or 192.168.x.x,[100.x.x.x ör 192.168.x.x ~~~~ ~~~~]
MP_JOIN_BUTTON,Join,[Jöïn ~~~~]
MP_LOBBY,LOBBY,[LÖBBÝ ~~~~]
MP_READY,Ready,[Réädý ~~~~]
MP_START_MATCH,Start match,[Stärt mätch ~~~~]
MP_LEAVE,Leave,[Léävé ~~~~]
MP_STATUS_HOSTING,Hosting on port {port},[Höstïng ön pört {port} ~~~~ ~~~~]
MP_STATUS_HOST_FAILED,Could not host: {error},[Cöüld nöt höst: {error} ~~~~ ~~~~]
MP_STATUS_JOINING,Joining {address}:{port}...,[Jöïnïng {address}:{port}... ~~~~ ~~~~]
MP_STATUS_JOIN_FAILED,Could not join: {error},[Cöüld nöt jöïn: {error} ~~~~ ~~~~]
MP_STATUS_NOT_HOSTING,Not hosting.,[Nöt höstïng. ~~~~]
MP_STATUS_CONNECTED,Connected. Waiting for the host.,[Cönnéctéd. Wäïtïng för thé höst. ~~~~ ~~~~]
MP_STATUS_FAILED,Connection failed.,[Cönnéctïön fäïléd. ~~~~ ~~~~]
MP_STATUS_LEFT,Left the lobby.,[Léft thé löbbý. ~~~~]
MP_ADDRESS_TAILSCALE,{address}   (Tailscale),[{address}   (Täïlscälé) ~~~~ ~~~~]
MP_LOBBY_HOSTING,LOBBY  ·  hosting on port {port},[LÖBBÝ  ·  höstïng ön pört {port} ~~~~ ~~~~]
MP_LOBBY_JOINED,LOBBY  ·  {address},[LÖBBÝ  ·  {address} ~~~~ ~~~~]
MP_CUSTOM,Custom,[Cüstöm ~~~~]
MP_NO_ADDRESS,No network address found.,[Nö nétwörk äddréss föünd. ~~~~ ~~~~]
MP_ADDRESS_PORT,{address}  port {port},[{address}  pört {port} ~~~~ ~~~~]
MP_ADDRESS_PUBLIC,{address}  port {port}   (public - give friends this),[{address}  pört {port}   (püblïc - gïvé frïénds thïs) ~~~~ ~~~~ ~~~~ ~~~~]
MP_SEAT_PLAYER,Player {number},[Pläýér {number} ~~~~]
MP_SEAT_NAME_BOT,{name} (bot),[{name} (böt) ~~~~]
MP_SEAT_NAME_YOU,{name} (you),[{name} (ýöü) ~~~~]
MP_SEAT_ROW,Seat {number}   {name}   {role}   {ready},[Séät {number}   {name}   {role}   {ready} ~~~~ ~~~~ ~~~~]
MP_ROLE_TOWER,tower,[töwér ~~~~]
MP_ROLE_PRISONER,prisoner,[prïsönér ~~~~]
MP_ROLE_RACE,race,[räcé ~~~~]
MP_READY_YES,READY,[RÉÅDÝ ~~~~]
MP_READY_NO,not ready,[nöt réädý ~~~~]
MP_RULES_SUMMARY,{mode}  ·  {prisoners} prisoners  ·  ghosts {ghosts}  ·  {opening}  ·  {rounds} to win,[{mode}  ·  {prisoners} prïsönérs  ·  ghösts {ghosts}  ·  {opening}  ·  {rounds} tö wïn ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]
MP_CUSTOM_RULES,Custom rules,[Cüstöm rülés ~~~~]
MP_ON,on,[ön ~~~~]
MP_OFF,off,[öff ~~~~]
MP_OPENING_RACE,race for the tower,[räcé för thé töwér ~~~~ ~~~~]
MP_OPENING_SEAT,seat {number} opens in the tower,[séät {number} öpéns ïn thé töwér ~~~~ ~~~~]
MP_ROUNDS_ONE,one round,[öné röünd ~~~~]
MP_ROUNDS_MANY,{count} rounds,[{count} röünds ~~~~]
SETTINGS_TITLE,SETTINGS,[SÉTTÏNGS ~~~~]
SETTINGS_TAB_MATCH,Match,[Mätch ~~~~]
SETTINGS_TAB_GAME,Game,[Gämé ~~~~]
SETTINGS_TAB_AUDIO,Audio,[Åüdïö ~~~~]
SETTINGS_TAB_VIDEO,Video,[Vïdéö ~~~~]
SETTINGS_TAB_CONTROLS,Controls,[Cöntröls ~~~~]
SETTINGS_OPENING_RACE,Opening Race,[Öpénïng Räcé ~~~~]
SETTINGS_SKIP_IT,Skip it,[Skïp ït ~~~~]
SETTINGS_TOWER_GOES_TO,Tower Goes To,[Töwér Göés Tö ~~~~]
SETTINGS_RELOAD_BY_TURN,Reload By Turn,[Rélöäd Bý Türn ~~~~]
SETTINGS_HUB_MAP_PICK,Hub Map Pick,[Hüb Mäp Pïck ~~~~]
SETTINGS_VOTE_SECONDS,Vote Seconds,[Vöté Sécönds ~~~~]
SETTINGS_MAP_PICK_HOST,Host picks,[Höst pïcks ~~~~]
SETTINGS_MAP_PICK_VOTE,Vote by standing,[Vöté bý ständïng ~~~~]
SETTINGS_TURN_1,1st,[1st ~~~~]
SETTINGS_TURN_2,2nd,[2nd ~~~~]
SETTINGS_TURN_3,3rd,[3rd ~~~~]
SETTINGS_TURN_4,4th,[4th ~~~~]
SETTINGS_TURN_5,5th,[5th ~~~~]
SETTINGS_BALANCE,BALANCE,[BÅLÅNCÉ ~~~~]
SETTINGS_SCOPE_SWAY,Scope Sway,[Scöpé Swäý ~~~~]
SETTINGS_SWAY_SPEED,Sway Speed,[Swäý Spééd ~~~~]
SETTINGS_SWAY_SETTLES_IN,Sway Settles In,[Swäý Séttlés Ïn ~~~~]
SETTINGS_TOWER,Tower,[Töwér ~~~~]
SETTINGS_TOWER_CARVED,Carved,[Cärvéd ~~~~]
SETTINGS_TOWER_ARCHES,Arches,[Årchés ~~~~]
SETTINGS_OPEN_WINDOWS,Open Windows,[Öpén Wïndöws ~~~~]
SETTINGS_MISS_PENALTY,Miss Penalty,[Mïss Pénältý ~~~~]
SETTINGS_HIT_MARKER,Hit Marker,[Hït Märkér ~~~~]
SETTINGS_CONFIRM_HITS,Confirm hits,[Cönfïrm hïts ~~~~]
SETTINGS_RUNNER_SPEED,Runner Speed,[Rünnér Spééd ~~~~]
SETTINGS_JUMP_HEIGHT,Jump Height,[Jümp Héïght ~~~~]
SETTINGS_POWER_COOLDOWN,Power Cooldown,[Pöwér Cööldöwn ~~~~]
SETTINGS_GUARD_SKILL,Guard Skill,[Güärd Skïll ~~~~]
SETTINGS_GUARD_HEALTH,Guard Health,[Güärd Héälth ~~~~]
SETTINGS_FINISHER_HEALTH,Finisher Health,[Fïnïshér Héälth ~~~~]
SETTINGS_NOTE_SWAY,"Scope sway drifts the aim in a figure eight while the scope is up, and the drift is in the shot the host resolves, not just in the picture. Plugged windows are rock; the ones left open stay spread round the tower.","[Scöpé swäý drïfts thé äïm ïn ä fïgüré éïght whïlé thé scöpé ïs üp, änd thé drïft ïs ïn thé shöt thé höst résölvés, nöt jüst ïn thé pïctüré. Plüggéd wïndöws äré röck; thé önés léft öpén stäý spréäd röünd thé töwér. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
SETTINGS_NOTE_GHOSTS,"A shot prisoner returns as a ghost: faster, unshootable, and chasing. Catching a living prisoner takes their place, and their distance round the ring with it.","[Å shöt prïsönér rétürns äs ä ghöst: fästér, ünshöötäblé, änd chäsïng. Cätchïng ä lïvïng prïsönér täkés théïr pläcé, änd théïr dïstäncé röünd thé rïng wïth ït. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
SETTINGS_NOTE_OPENING,"A match normally opens with a race for the tower: everybody runs the ring and the first to the end takes it. Skip it and the tower is handed to the seat above instead, on turn one, with everybody else already running -- the same round the race would have started.","[Å mätch nörmällý öpéns wïth ä räcé för thé töwér: évérýbödý rüns thé rïng änd thé fïrst tö thé énd täkés ït. Skïp ït änd thé töwér ïs händéd tö thé séät äbövé ïnstéäd, ön türn öné, wïth évérýbödý élsé älréädý rünnïng -- thé sämé röünd thé räcé wöüld hävé stärtéd. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
SETTINGS_UNIT_SECONDS,s,[s ~~~~]
SETTINGS_UNIT_DEGREES,deg,[dég ~~~~]
SETTINGS_UNIT_HZ,Hz,[Hz ~~~~]
SETTINGS_UNIT_TIMES,x,[x ~~~~]
SETTINGS_UNIT_HP,hp,[hp ~~~~]
SETTINGS_MOUSE_SENSITIVITY,Mouse Sensitivity,[Möüsé Sénsïtïvïtý ~~~~ ~~~~]
SETTINGS_INVERT_LOOK_Y,Invert Look Y,[Ïnvért Löök Ý ~~~~]
SETTINGS_FIELD_OF_VIEW,Field of View,[Fïéld öf Vïéw ~~~~]
SETTINGS_NOTE_INPUT,Sensitivity and invert-Y are written into the active MovementProfile; field of view into the player camera.,[Sénsïtïvïtý änd ïnvért-Ý äré wrïttén ïntö thé äctïvé MövéméntPröfïlé; fïéld öf vïéw ïntö thé pläýér cämérä. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]
SETTINGS_MASTER,Master,[Mästér ~~~~]
SETTINGS_EFFECTS,Effects,[Éffécts ~~~~]
SETTINGS_MUSIC,Music,[Müsïc ~~~~]
SETTINGS_PS1_CRUSH,PS1 crush,[PS1 crüsh ~~~~]
SETTINGS_PS1_CRUSH_HINT,"8-bit, low rate","[8-bït, löw räté ~~~~]"
SETTINGS_VIDEO_DISPLAY_MODE,Display Mode,[Dïspläý Mödé ~~~~]
SETTINGS_VIDEO_RESOLUTION,Resolution,[Résölütïön ~~~~]
SETTINGS_VIDEO_VSYNC,V-Sync,[V-Sýnc ~~~~]
SETTINGS_VIDEO_FPS_CAP,Max FPS,[Mäx FPS ~~~~]
SETTINGS_VIDEO_RENDER_SCALE,Render Scale,[Réndér Scälé ~~~~]
SETTINGS_VIDEO_BRIGHTNESS,Brightness,[Brïghtnéss ~~~~]
SETTINGS_VIDEO_WINDOWED,Windowed,[Wïndöwéd ~~~~]
SETTINGS_VIDEO_FULLSCREEN,Fullscreen,[Füllscréén ~~~~]
SETTINGS_VIDEO_BORDERLESS,Borderless Fullscreen,[Bördérléss Füllscréén ~~~~ ~~~~]
SETTINGS_VIDEO_RESOLUTION_FORMAT,{width} x {height},[{width} x {height} ~~~~ ~~~~]
SETTINGS_VIDEO_VSYNC_OFF,Off,[Öff ~~~~]
SETTINGS_VIDEO_VSYNC_ON,On,[Ön ~~~~]
SETTINGS_VIDEO_VSYNC_ADAPTIVE,Adaptive,[Ådäptïvé ~~~~]
SETTINGS_VIDEO_FPS_UNLIMITED,Unlimited,[Ünlïmïtéd ~~~~]
SETTINGS_VIDEO_NOTE_RESOLUTION,Resolution applies to the window; in either fullscreen mode the display's own resolution is used.,[Résölütïön äpplïés tö thé wïndöw; ïn éïthér füllscréén mödé thé dïspläý's öwn résölütïön ïs üséd. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]
SETTINGS_VIDEO_NOTE_EMBEDDED,"The window did not resize: this build is running inside the editor's embedded Game window, which cannot be resized. Turn off Game > Embed Game Window in the editor and run again. The choice is saved either way.","[Thé wïndöw dïd nöt résïzé: thïs büïld ïs rünnïng ïnsïdé thé édïtör's émbéddéd Gämé wïndöw, whïch cännöt bé résïzéd. Türn öff Gämé > Émbéd Gämé Wïndöw ïn thé édïtör änd rün ägäïn. Thé chöïcé ïs sävéd éïthér wäý. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
SETTINGS_VIDEO_NOTE_REFUSED,The window did not resize: this display server refused the size. The choice is saved and will be tried again next time the game starts.,[Thé wïndöw dïd nöt résïzé: thïs dïspläý sérvér réfüséd thé sïzé. Thé chöïcé ïs sävéd änd wïll bé trïéd ägäïn néxt tïmé thé gämé stärts. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]
SETTINGS_RESET_ALL,Reset All Settings,[Rését Åll Séttïngs ~~~~ ~~~~]
KEYBIND_INTRO,"Two bindings per action. Escape cancels a rebind, Backspace clears the slot.","[Twö bïndïngs pér äctïön. Éscäpé cäncéls ä rébïnd, Bäckspäcé cléärs thé slöt. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
KEYBIND_ACTION_MOVE_FORWARD,Move Forward,[Mövé Förwärd ~~~~]
KEYBIND_ACTION_MOVE_BACK,Move Back,[Mövé Bäck ~~~~]
KEYBIND_ACTION_MOVE_LEFT,Move Left,[Mövé Léft ~~~~]
KEYBIND_ACTION_MOVE_RIGHT,Move Right,[Mövé Rïght ~~~~]
KEYBIND_ACTION_JUMP,Jump,[Jümp ~~~~]
KEYBIND_ACTION_SLIDE,Crouch / Slide,[Cröüch / Slïdé ~~~~]
KEYBIND_ACTION_ABILITY,Ability,[Åbïlïtý ~~~~]
KEYBIND_ACTION_ABILITY_1,Ability 1,[Åbïlïtý 1 ~~~~]
KEYBIND_ACTION_ABILITY_2,Ability 2,[Åbïlïtý 2 ~~~~]
KEYBIND_ACTION_ABILITY_3,Ability 3,[Åbïlïtý 3 ~~~~]
KEYBIND_ACTION_ABILITY_4,Ability 4,[Åbïlïtý 4 ~~~~]
KEYBIND_ACTION_FIRE,Fire,[Fïré ~~~~]
KEYBIND_ACTION_ZOOM,Aim / Zoom,[Åïm / Zööm ~~~~]
KEYBIND_UNBOUND,Unbound,[Ünböünd ~~~~]
KEYBIND_RESET,Reset,[Rését ~~~~]
KEYBIND_RESET_ALL,Reset All Bindings,[Rését Åll Bïndïngs ~~~~ ~~~~]
KEYBIND_TOOLTIP_REBIND,Rebind {action} (slot {slot}),[Rébïnd {action} (slöt {slot}) ~~~~ ~~~~]
KEYBIND_TOOLTIP_RESET,Restore the shipped bindings for {action},[Réstöré thé shïppéd bïndïngs för {action} ~~~~ ~~~~ ~~~~]
KEYBIND_CAPTURE_PROMPT,"Press an input for {action} (slot {slot}).
Escape cancels. Backspace clears.","[Préss än ïnpüt för {action} (slöt {slot}).
Éscäpé cäncéls. Bäckspäcé cléärs. ~~~~ ~~~~ ~~~~ ~~~~ ~~~~]"
KEYBIND_STATUS_CANCELLED,Rebind cancelled.,[Rébïnd cäncélléd. ~~~~ ~~~~]
